
============  18-05-23 11:27:13  ==============
05-23 11:27:10.963   183   183 I use-Rlog/RLOG-RILD: [
05-23 11:27:10.963   182   182 I use-Rlog/RLOG-RILD: [
05-23 11:27:11.093   182   182 D use-Rlog/RLOG-RILD: [0] Rild: rilArgv[1]=-n,rilArgv[2]=0,ModemType=l
05-23 11:27:11.093   183   183 D use-Rlog/RLOG-RILD: [1] Rild: rilArgv[1]=-n,rilArgv[2]=1,ModemType=l
05-23 11:27:11.163   183   183 D use-Rlog/RLOG-RIL: [1] rild connect l modem, current is rild1
05-23 11:27:11.173   183   183 D use-Rlog/RLOG-RIL: [1] RIL enter multi sim card mode!
05-23 11:27:11.173   182   182 D use-Rlog/RLOG-RIL: [0] rild connect l modem, current is rild0
05-23 11:27:11.173   182   182 D use-Rlog/RLOG-RIL: [0] RIL enter multi sim card mode!
05-23 11:27:11.183   182   236 I use-Rlog/RLOG-RIL: [0] sprd_reference ril Compile date:Sep 27 2017,14:17:36 
05-23 11:27:11.183   182   182 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:27:11.183   183   183 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:27:11.183   183   235 I use-Rlog/RLOG-RIL: [1] sprd_reference ril Compile date:Sep 27 2017,14:17:36 
05-23 11:27:11.193   182   236 I use-Rlog/RLOG-RIL: [0] AT channel [0] open successfully, ttyName:/dev/CHNPTYL0
05-23 11:27:11.193   182   236 I use-Rlog/RLOG-RIL: [0] AT channel [1] open successfully, ttyName:/dev/CHNPTYL1
05-23 11:27:11.193   182   236 I use-Rlog/RLOG-RIL: [0] AT channel [2] open successfully, ttyName:/dev/CHNPTYL2
05-23 11:27:11.193   183   235 I use-Rlog/RLOG-RIL: [1] AT channel [0] open successfully, ttyName:/dev/CHNPTYL3
05-23 11:27:11.193   183   235 I use-Rlog/RLOG-RIL: [1] AT channel [1] open successfully, ttyName:/dev/CHNPTYL4
05-23 11:27:11.193   183   235 I use-Rlog/RLOG-RIL: [1] AT channel [2] open successfully, ttyName:/dev/CHNPTYL5
05-23 11:27:11.203   183   227 D use-Rlog/RLOG-RIL: [1] channel4 state: '0' 
05-23 11:27:11.203   183   227 D use-Rlog/RLOG-RIL: [1] get Channel ID '4'
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RIL: [0] getTestMode
05-23 11:27:11.213   183   183 D use-Rlog/RLOG-RIL: [1] getTestMode
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RIL: [0] getTestModeInner subscription = 0
05-23 11:27:11.213   183   183 D use-Rlog/RLOG-RIL: [1] getTestModeInner subscription = 1
05-23 11:27:11.213   183   183 D use-Rlog/RLOG-RIL: [1] getTestModeInner prop key: persist.radio.ssda.testmode1
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RIL: [0] getTestModeInner: 8
05-23 11:27:11.213   183   183 D use-Rlog/RLOG-RIL: [1] getTestModeInner: 254
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RIL: [0] allow_data init 1!
05-23 11:27:11.213   182   226 D use-Rlog/RLOG-RIL: [0] channel1 state: '0' 
05-23 11:27:11.213   182   226 D use-Rlog/RLOG-RIL: [0] get Channel ID '1'
05-23 11:27:11.213   183   183 D use-Rlog/RLOG-RILC: [1] sprd_libril Compile date:Sep 27 2017,14:18:47 
05-23 11:27:11.213   183   183 D use-Rlog/RLOG-RILC: [1] it's l modem rild1 libril
05-23 11:27:11.213   183   183 E use-Rlog/RLOG-RILC: [1] RIL_register: RIL version 11
05-23 11:27:11.213   183   183 I use-Rlog/RLOG-RILC: [1] Ril.cpp: 3 CommandThread create
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RILC: [0] sprd_libril Compile date:Sep 27 2017,14:18:47 
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RILC: [0] it's l modem rild0 libril
05-23 11:27:11.213   182   182 E use-Rlog/RLOG-RILC: [0] RIL_register: RIL version 11
05-23 11:27:11.213   182   182 I use-Rlog/RLOG-RILC: [0] Ril.cpp: 3 CommandThread create
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RILC: [0] create call dispatch thread
05-23 11:27:11.213   182   182 D use-Rlog/RLOG-RILC: [0] Start to listen oem_socket1
05-23 11:27:11.213   182   182 D RILD    : RIL_register_ATCIServer started
05-23 11:27:11.223   182   182 D use-Rlog/RLOG-RILC: [0] atci_socket1 created
05-23 11:27:11.223   182   182 D RIL_ATCI_SOCKET: Adding socket with id: 0
05-23 11:27:11.223   182   182 D RILD    : RIL_register_socket completed
05-23 11:27:11.223   182   182 D RILD    : RIL_Init starting sleep loop
05-23 11:27:11.233   183   183 D use-Rlog/RLOG-RILC: [1] create call dispatch thread
05-23 11:27:11.233   183   183 D use-Rlog/RLOG-RILC: [1] Start to listen oem_socket2
05-23 11:27:11.233   183   183 D RILD    : RIL_register_ATCIServer started
05-23 11:27:11.233   183   183 D use-Rlog/RLOG-RILC: [1] atci_socket2 created
05-23 11:27:11.233   183   183 D RIL_ATCI_SOCKET: Adding socket with id: 1
05-23 11:27:11.233   183   183 D RILD    : RIL_register_socket completed
05-23 11:27:11.233   183   183 D RILD    : RIL_Init starting sleep loop
05-23 11:27:11.243   183   227 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:27:11.243   182   226 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_RADIO_STATE_CHANGED  {RADIO_OFF}
05-23 11:27:11.253   183   227 D use-Rlog/RLOG-RILC: [1] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:27:11.253   182   226 D use-Rlog/RLOG-RILC: [0] [UNSL]< UNSOL_RESPONSE_SIM_STATUS_CHANGED 
05-23 11:27:11.353   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> ATE0Q0V1
05-23 11:27:11.353   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATE0Q0V1
05-23 11:27:11.413   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.413   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> ATS0=0
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> ATS0=0
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CMEE=1
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CREG=2
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CEREG=2
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CCED=1,8
05-23 11:27:11.423   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.423   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CMEE=1
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
05-23 11:27:11.423   183   227 D use-Rlog/RLOG-AT: [1] Channel4: AT> AT+CCWA=1
05-23 11:27:11.423   182   238 D use-Rlog/RLOG-AT: [0] Channel1: AT< OK
05-23 11:27:11.423   182   226 D use-Rlog/RLOG-AT: [0] Channel1: AT> AT+CREG=2
05-23 11:27:11.423   183   237 D use-Rlog/RLOG-AT: [1] Channel4: AT< OK
