
============  18-05-23 11:04:59  ==============
05-23 11:04:56.953   181   181 I use-Rlog/RLOG-RILD: [
05-23 11:04:56.953   182   182 I use-Rlog/RLOG-RILD: [
05-23 11:04:57.083   181   181 D use-Rlog/RLOG-RILD: [0] Rild: rilArgv[1]=-n,rilArgv[2]=0,ModemType=l
05-23 11:04:57.083   182   182 D use-Rlog/RLOG-RILD: [1] Rild: rilArgv[1]=-n,rilArgv[2]=1,ModemType=l
05-23 11:04:57.123   182   182 D use-Rlog/RLOG-RIL: [1] rild connect l modem, current is rild1
05-23 11:04:57.123   182   182 D use-Rlog/RLOG-RIL: [1] RIL enter multi sim card mode!
05-23 11:04:57.123   181   181 D use-Rlog/RLOG-RIL: [0] rild connect l modem, current is rild0
05-23 11:04:57.123   181   181 D use-Rlog/RLOG-RIL: [0] RIL enter multi sim card mode!
05-23 11:04:57.123   182   182 D use-Rlog/RLOG-RIL: [1] ssda mode: tdd-csfb
05-23 11:04:57.123   181   181 D use-Rlog/RLOG-RIL: [0] ssda mode: tdd-csfb
05-23 11:04:57.133   182   240 I use-Rlog/RLOG-RIL: [1] sprd_reference ril Compile date:Sep 27 2017,14:17:36 
05-23 11:04:57.133   181   241 I use-Rlog/RLOG-RIL: [0] sprd_reference ril Compile date:Sep 27 2017,14:17:36 
05-23 11:04:57.143   182   240 I use-Rlog/RLOG-RIL: [1] AT channel [0] open successfully, ttyName:/dev/CHNPTYL3
05-23 11:04:57.143   182   240 I use-Rlog/RLOG-RIL: [1] AT channel [1] open successfully, ttyName:/dev/CHNPTYL4
05-23 11:04:57.143   181   241 I use-Rlog/RLOG-RIL: [0] AT channel [0] open successfully, ttyName:/dev/CHNPTYL0
05-23 11:04:57.143   181   241 I use-Rlog/RLOG-RIL: [0] AT channel [1] open successfully, ttyName:/dev/CHNPTYL1
05-23 11:04:57.143   181   241 I use-Rlog/RLOG-RIL: [0] AT channel [2] open successfully, ttyName:/dev/CHNPTYL2
05-23 11:04:57.143   182   240 I use-Rlog/RLOG-RIL: [1] AT channel [2] open successfully, ttyName:/dev/CHNPTYL5
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RIL: [1] getTestMode
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RIL: [1] getTestModeInner subscription = 1
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RIL: [1] getTestModeInner prop key: persist.radio.ssda.testmode1
05-23 11:04:57.143   182   182 D use-Rlog/RLOG-RIL: [1] getTestModeInner: 254
05-23 11:04:57.143   181   181 D use-Rlog/RLOG-RIL: [0] getTestMode
